name,descr,company,calories,sodium,trans_fat,sat_fat,sodium_units,trans_fat_units,sat_fat_units,serving_size,fat,protein,carbs,category,serving_size_units,fat_units,protein_units,carb_units,nutrition,rank,sugar,rank_out_of,sugar_units,price_in_dollar
Meatball Parmigiana,"Again, meatballs are bad news. The large Meatball Parmigiana has beef and pork blended meatballs covered in marinara sauce, melted provolone, and sprinkled Parmesan. All that meat and cheese equals 1,490 calories, 78 g fat, 32 g saturated fat, and 4,170 mg sodium. When ordering at a restaurant, beware of specialty breads, which often have extra calories.",Blimpie,1490,4170.0,,32.0,mg,,g,,78.0,,,,,g,,,,,,,,
Deluxe Original-Style Sandwich,"The medium-sized Deluxe Original-Style Sandwich has double servings of smoked ham, two kinds of salami, and three types of cheese. Layered in between, there are a few healthy things -- like black olives, red onion, lettuce, and tomato -- but that's not enough to offset the fat, calories, and sodium. All that meat and cheese equals a whopping 980 calories, 47 g fat, 19 g saturated fat, and 3,820 mg sodium.",Schlotzskys,980,3820.0,,19.0,mg,,g,,47.0,,,,,g,,,,,,,,
Small Chicken Breast Sandwich,"The Small Chicken Breast Sandwich is a better choice at Schlotzsky's. It has only 330 calories -- fewer than half the calories of the ""original-style"" sandwich -- along with a slim 2 g fat and no saturated fat. Chicken, lettuce, tomato, pickles, and fat-free spicy ranch dressing on a sourdough bun keep the calories and fat in check. But watch out for the sky-high 1,150 mg of sodium.",Schlotzskys,330,1150.0,,,mg,,g,,,,,,,g,,,,,,,,
Bacon Double Cheeseburger,"Plan on walking for nearly 4 hours if you want to work off the calories you’ll gain with this guilty pleasure. In addition, this meal easily hits your daily 20-gram limit of saturated fat. To cut the calories, consider veggie patties, turkey burgers, or grilled chicken instead of beef, or ask if it can be served on a lettuce wrap instead of a bun.",,858,1764.0,,,mg,,,,50.0,,,,,g,,,"The Count: 858 calories, 50 grams of fat, 1,764 milligrams of sodium",,,,,
Baby Back Ribs (Full Rack),"There are 90 grams of protein here, but you’ll use up your entire daily allowance of fat before you add extra sauce, let alone a side dish. If you really crave pork, order center-cut pork chops or a pork loin instead. They have a fraction of the calories.",,1240,2270.0,,,mg,,,,83.0,,,,,g,,,"The Count: 1,240 calories, 83 grams of fat, 2,270 milligrams of sodium",,,,,
Beef Chimichangas,"This flour tortilla packed with ground beef, refried beans, tomatoes, peppers, onion, and garlic is folded and then fried. When you add the oil, you’re already halfway to your recommended daily fat before you even choose a side. Try a burrito bowl with black or pinto beans as a healthier alternative.",,742,736.0,,,mg,,,,34.0,,,,,g,,,"The Count: (one large) 742 calories, 34 grams of fat, 736 milligrams of sodium",,,,,
Chicken Alfredo,"How can something with chicken in it have so many calories and more than twice the saturated fat you should have for the day? Easy. The fettuccine, butter, heavy cream, and Parmesan put it over the top. Instead, opt for chicken cacciatore with onions, herbs, tomatoes, and bell peppers. You’ll still enjoy that Italian experience without wrecking your calorie count.",,1191,940.0,,,mg,,,,81.0,,,,,g,,,"The Count: 1,191 calories, 81 grams of fat, 940 milligrams of sodium",,,,,
Chicken and Waffles,"This crunchy-sweet combination may be a treat for your taste buds, but it comes at a steep calorie price. It also includes 24 grams of sugar, thanks to the syrup and butter. Consider getting grilled chicken and baked sweet potato fries (a great source of vitamin A) instead.",,1012,852.0,,,mg,,,,54.0,,,,,g,,,"The Count: 1,012 calories, 54 grams of fat, 852 milligrams of sodium",,,,,
Ham and Cheese Omelet,"This breakfast staple packs plenty of protein, but at half of your total fat and sodium requirements for the day. That’s not including adding hash browns or home fries. If you’re really wanting an omelet, make a smaller one with one or two whole eggs, and add some whole-grain toast and a side of fruit.",,512,1277.0,,,mg,,,,37.0,,,,,g,,,"The Count: 512 calories, 37 grams of fat, 1,277 milligrams of sodium",,,,,
Chicken Tikka Masala,"This has plenty of vitamins A and C, calcium, and iron. But the cream, yogurt, and tomato sauce tip the scales here before you even add rice and naan. Plus, this puts you well over your daily limit of saturated fat and sodium. Order the tandoori chicken instead.",,707,4144.0,,,mg,,,,43.0,,,,,g,,,"The count: (2 cups) 707 calories, 43 grams of fat, 4,144 milligrams of sodium",,,,,
Loaded Baked Potato,"Potatoes are an excellent source of vitamin C and potassium. But adding sour cream, cheese, and bacon makes this side almost a meal in itself. A baked sweet potato gives you the same vitamin boost at a fraction of the calories, even with a sprinkling of brown sugar.",,405,538.0,,,mg,,,,24.0,,,,,g,,,"The count: 405 calories, 24 grams of fat, 538 milligrams of sodium",,,,,
Pad Thai,"This takeout staple seems healthy. But the oil, butter, noodles, eggs, and peanuts push this dish to those hefty fat and sodium totals. Try chicken satay with peanut sauce for a more diet-friendly option.",,838,1301.0,,,mg,,,,45.0,,,,,g,,,"The count: 838 calories, 45 grams of fat, 1,301 milligrams of sodium",,,,,
Pepperoni Stromboli,"A stromboli is basically a pizza that’s rolled up and baked. So the crust, cheese, and meat are concentrated in every tasty but calorie-heavy slice. If you eat the whole thing, you’ll need to ride 25 miles on a bicycle to work it off. Bruschetta -- grilled bread rubbed with garlic with various toppings -- is the healthier option here.",,1182,3372.0,,,mg,,,,78.0,,,,,g,,,"The Count: 1,182 calories, 78 grams of fat, 3,372 milligrams of sodium",,,,,
General Tso’s Chicken,"This dish, supposedly named after a famous general from China’s Hunan province, looks innocent at first glance: fried chicken and broccoli covered in a sweet and spicy sauce. But the calories in the chicken and the sweet sauce add up quickly. For a healthier main course at half the calories, try kung pao chicken instead.",,1578,2327.0,,,mg,,,,88.0,,,,,g,,,"The Count: 1,578 calories, 88 grams of fat, 2,327 milligrams of sodium",,,,,
Tropicana® Pink Lemonade,,,210-390,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Soft Taco Party Pack,,,180,,,,,,,,,,,Tacos,,,,,,,,,,13.99
Grilled Cheese Burrito,,,710,,,,,,,,,,,New,,,,,,,,,,2.99
Steak Quesadilla,,,520,,,,,,,,,,,Specialties,,,,,,,,,,3.99
Veggie Nachos Party Pack,,,1770,,,,,,,,,,,GROUPS,,,,,,,,,,9.99
Black Bean Chalupa,,,330,,,,,,,,,,,Veggie Cravings,,,,,,,,,,3.29
Chips and Nacho Cheese Sauce,,,220,,,,,,,,,,,Value Menu,,,,,,,,,,1.0
Fountain Drink,,,0-420,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Pepsi® Zero Sugar,,,0,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Grilled Cheese Burrito,,,710,,,,,,,,,,,Burritos,,,,,,,,,,2.99
Mountain Dew® Kickstart™ Orange Citrus - Small,,,70,,,,,,,,,,,Breakfast,,,,,,,,,,1.0
Cinnabon Delights® 12 Pack,,,930,,,,,,,,,,,Veggie Cravings,,,,,,,,,,4.99
Toasted Cheddar Chalupa,,,490,,,,,,,,,,,Specialties,,,,,,,,,,2.99
Grande Toasted Breakfast Burrito Combo,,,1000,,,,,,,,,,,Breakfast,,,,,,,,,,4.99
Fire Sauce Packet,,,0,,,,,,,,,,,Sides & Sweets,,,,,,,,,,0.0
Toasted Cheddar Chalupa Box,,,1110,,,,,,,,,,,New,,,,,,,,,,5.0
Mountain Dew® Kickstart™ Orange Citrus,,,70-130,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Quesarito,,,650,,,,,,,,,,,Burritos,,,,,,,,,,3.19
Cup of Water,,,0,,,,,,,,,,,Drinks,,,,,,,,,,0.0
Pepsi®,,,200-380,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Cheesy Bean and Rice Burrito,,,420,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.0
Black Beans,,,50,,,,,,,,,,,Sides & Sweets,,,,,,,,,,1.49
Beefy 5-Layer Burrito,,,490,,,,,,,,,,,Burritos,,,,,,,,,,2.39
Cinnamon Twists,,,170,,,,,,,,,,,Sides & Sweets,,,,,,,,,,1.0
Veggie Nachos Party Pack,,,1770,,,,,,,,,,,Veggie Cravings,,,,,,,,,,9.99
Toasted Cheddar Chalupa Box,,,1110,,,,,,,,,,,Combos,,,,,,,,,,5.0
Black Bean Toasted Cheddar Chalupa,,,470,,,,,,,,,,,Specialties,,,,,,,,,,2.99
Soft Taco,,,180,,,,,,,,,,,Specialties,,,,,,,,,,1.29
Nachos BellGrande® Combo,,,1350,,,,,,,,,,,Nachos,,,,,,,,,,6.69
Hash Brown Toasted Breakfast Burrito Steak,,,570,,,,,,,,,,,Breakfast,,,,,,,,,,2.69
Bean Burrito,,,350,,,,,,,,,,,Burritos,,,,,,,,,,1.29
Cheesy Gordita Crunch,,,500,,,,,,,,,,,Specialties,,,,,,,,,,3.59
Supreme Soft Taco Party Pack,,,210,,,,,,,,,,,Tacos,,,,,,,,,,15.99
Nacho Cheese Doritos® Locos Tacos,,,170,,,,,,,,,,,Specialties,,,,,,,,,,1.89
Dragon Fruit Freeze No Syrup,,,160-200,,,,,,,,,,,Drinks,,,,,,,,,,2.69
Soft Taco Supreme®,,,210,,,,,,,,,,,Specialties,,,,,,,,,,1.79
G2 Gatorade® Fruit Punch,,,30-50,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Black Beans and Rice,,,170,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.49
Mild Sauce Packet,,,0,,,,,,,,,,,Sides & Sweets,,,,,,,,,,0.0
Cheese Quesadilla,,,470,,,,,,,,,,,Veggie Cravings,,,,,,,,,,2.99
Crunchwrap Supreme® Combo,,,1120,,,,,,,,,,,Combos,,,,,,,,,,6.69
Cheesy Roll Up,,,180,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.0
Cheese Quesadilla,,,470,,,,,,,,,,,Quesadillas,,,,,,,,,,2.99
Grande Toasted Breakfast Burrito Combo,,,1000,,,,,,,,,,,Combos,,,,,,,,,,4.99
Cheesy Bean and Rice Burrito,,,420,,,,,,,,,,,Value Menu,,,,,,,,,,1.0
Diet Pepsi®,,,0,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Taco & Burrito Cravings Pack,,,170-490,,,,,,,,,,,GROUPS,,,,,,,,,,10.0
Power Menu Bowl - Veggie,,,430,,,,,,,,,,,Power Menu,,,,,,,,,,5.49
3 Soft Tacos Supreme® Combo,,,1050,,,,,,,,,,,Combos,,,,,,,,,,6.59
Power Menu Bowl - Veggie,,,430,,,,,,,,,,,Veggie Cravings,,,,,,,,,,5.49
Supreme Soft Taco Party Pack,,,210,,,,,,,,,,,GROUPS,,,,,,,,,,15.99
Black Bean Quesarito,,,630,,,,,,,,,,,Veggie Cravings,,,,,,,,,,3.19
Veggie Nachos Party Pack,,,1770,,,,,,,,,,,New,,,,,,,,,,9.99
Nachos BellGrande®,,,740,,,,,,,,,,,Nachos,,,,,,,,,,3.69
Mountain Dew Baja Blast® Freeze,,,150-190,,,,,,,,,,,Drinks,,,,,,,,,,2.69
3 Crunchy Tacos Combo,,,930,,,,,,,,,,,Combos,,,,,,,,,,5.79
3 Crunchy Tacos Supreme® Combo,,,990,,,,,,,,,,,Tacos,,,,,,,,,,6.59
3 Soft Tacos Combo,,,960,,,,,,,,,,,Combos,,,,,,,,,,5.79
Crunchy Taco Supreme®,,,190,,,,,,,,,,,Tacos,,,,,,,,,,1.79
Supreme Taco Party Pack,,,190,,,,,,,,,,,GROUPS,,,,,,,,,,15.99
Chicken Chipotle Melt,,,190,,,,,,,,,,,Value Menu,,,,,,,,,,1.0
Nachos BellGrande®,,,740,,,,,,,,,,,Specialties,,,,,,,,,,3.69
Burrito Supreme® Combo,,,1000,,,,,,,,,,,Combos,,,,,,,,,,6.29
Black Beans and Rice,,,170,,,,,,,,,,,Sides & Sweets,,,,,,,,,,1.49
Hash Brown,,,160,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.29
Cheesy Toasted Breakfast Burrito,,,340,,,,,,,,,,,Breakfast,,,,,,,,,,1.29
Breakfast Crunchwrap Combo,,,1110,,,,,,,,,,,Breakfast,,,,,,,,,,4.99
Nacho Cheese Doritos® Locos Tacos,,,170,,,,,,,,,,,Tacos,,,,,,,,,,1.89
Chicken Quesadilla,,,510,,,,,,,,,,,Specialties,,,,,,,,,,3.79
Chicken Quesadilla Combo,,,1100,,,,,,,,,,,Combos,,,,,,,,,,6.59
Black Bean Quesarito,,,630,,,,,,,,,,,Online Exclusives,,,,,,,,,,3.19
Soft Taco,,,180,,,,,,,,,,,Tacos,,,,,,,,,,1.29
Cinnamon Twists,,,170,,,,,,,,,,,Value Menu,,,,,,,,,,1.0
Cheesy Toasted Breakfast Burrito Potato,,,340,,,,,,,,,,,Breakfast,,,,,,,,,,1.29
Hot Sauce Packet,,,0,,,,,,,,,,,Sides & Sweets,,,,,,,,,,0.0
Crunchwrap Supreme®,,,530,,,,,,,,,,,Burritos,,,,,,,,,,3.69
Crunchy Taco,,,170,,,,,,,,,,,Tacos,,,,,,,,,,1.29
Brisk® Mango Fiesta,,,100-180,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Hash Brown Toasted Breakfast Burrito Combo,,,1010,,,,,,,,,,,Combos,,,,,,,,,,4.19
Breakfast Crunchwrap Combo,,,1110,,,,,,,,,,,Combos,,,,,,,,,,4.99
Mountain Dew Baja Blast®,,,220-420,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Cinnabon Delights® 2 Pack,,,160,,,,,,,,,,,Breakfast,,,,,,,,,,1.29
Regular Iced Coffee,,,10,,,,,,,,,,,Drinks,,,,,,,,,,1.49
Cheesy Roll Up,,,180,,,,,,,,,,,Value Menu,,,,,,,,,,1.0
Breakfast Salsa,,,0,,,,,,,,,,,Breakfast,,,,,,,,,,0.0
Black Bean Crunchwrap Supreme®,,,510,,,,,,,,,,,Specialties,,,,,,,,,,3.69
Supreme Variety Taco Party Pack,,,190,,,,,,,,,,,GROUPS,,,,,,,,,,17.99
Grande Toasted Breakfast Burrito,,,560,,,,,,,,,,,Breakfast,,,,,,,,,,2.79
Premium Hot Coffee,,,10,,,,,,,,,,,Drinks,,,,,,,,,,1.49
Cheesy Roll Up,,,180,,,,,,,,,,,Specialties,,,,,,,,,,1.0
Taco Party Pack,,,170,,,,,,,,,,,GROUPS,,,,,,,,,,13.99
3 Doritos® Locos Tacos Combo,,,930,,,,,,,,,,,Combos,,,,,,,,,,6.99
Burrito Supreme®,,,390,,,,,,,,,,,Burritos,,,,,,,,,,3.49
Nachos Party Pack,,,2050,,,,,,,,,,,Nachos,,,,,,,,,,9.99
Chips and Nacho Cheese Sauce,,,220,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.0
Nachos BellGrande® Combo,,,1350,,,,,,,,,,,Combos,,,,,,,,,,6.69
Cinnamon Twists,,,170,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.0
Toasted Cheddar Chalupa,,,490,,,,,,,,,,,New,,,,,,,,,,2.99
Happier Hour® Beverage,,,280,,,,,,,,,,,Drinks,,,,,,,,,,1.0
Black Bean Toasted Cheddar Chalupa,,,470,,,,,,,,,,,New,,,,,,,,,,2.99
Power Menu Bowl - Veggie,,,430,,,,,,,,,,,Specialties,,,,,,,,,,5.49
Veggie Nachos Party Pack,,,1770,,,,,,,,,,,Nachos,,,,,,,,,,9.99
Cinnabon Delights® 2 Pack,,,160,,,,,,,,,,,Sides & Sweets,,,,,,,,,,1.29
3 Crunchy Tacos Supreme® Combo,,,990,,,,,,,,,,,Combos,,,,,,,,,,6.59
Soft Taco Supreme®,,,210,,,,,,,,,,,Tacos,,,,,,,,,,1.79
Black Bean Quesarito,,,630,,,,,,,,,,,Quesadillas,,,,,,,,,,3.19
Crunchy Taco,,,170,,,,,,,,,,,Specialties,,,,,,,,,,1.29
Quesarito,,,650,,,,,,,,,,,Online Exclusives,,,,,,,,,,3.19
Supreme Taco Party Pack,,,190,,,,,,,,,,,Tacos,,,,,,,,,,15.99
Cinnabon Delights® 12 Pack,,,930,,,,,,,,,,,Breakfast,,,,,,,,,,4.99
Nachos Party Pack,,,2050,,,,,,,,,,,GROUPS,,,,,,,,,,9.99
Crunchwrap Supreme®,,,530,,,,,,,,,,,Specialties,,,,,,,,,,3.69
Nacho Cheese Doritos® Locos Tacos Supreme®,,,190,,,,,,,,,,,Tacos,,,,,,,,,,2.39
Power Menu Bowl,,,470,,,,,,,,,,,Specialties,,,,,,,,,,5.49
Quesarito,,,650,,,,,,,,,,,Specialties,,,,,,,,,,3.19
Hash Brown Toasted Breakfast Burrito,,,570,,,,,,,,,,,Breakfast,,,,,,,,,,1.99
Black Bean Chalupa,,,330,,,,,,,,,,,Specialties,,,,,,,,,,3.29
Black Bean Toasted Cheddar Chalupa,,,470,,,,,,,,,,,Veggie Cravings,,,,,,,,,,2.99
Hash Brown Toasted Breakfast Burrito Combo,,,1010,,,,,,,,,,,Breakfast,,,,,,,,,,4.19
Chicken Quesadilla,,,510,,,,,,,,,,,Quesadillas,,,,,,,,,,3.79
2 Chicken Chalupas Supreme Combo,,,1250,,,,,,,,,,,Combos,,,,,,,,,,8.19
Soft Taco Party Pack,,,180,,,,,,,,,,,GROUPS,,,,,,,,,,13.99
Black Bean Quesarito,,,630,,,,,,,,,,,Specialties,,,,,,,,,,3.19
Lipton® Unsweetened Iced Tea,,,0,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Chalupa Supreme,,,350,,,,,,,,,,,Tacos,,,,,,,,,,2.99
Variety Taco Party Pack,,,170,,,,,,,,,,,GROUPS,,,,,,,,,,15.99
Mountain Dew®,,,220-410,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Dragon Fruit Freeze,,,190-230,,,,,,,,,,,Drinks,,,,,,,,,,2.69
Black Bean Chalupa,,,330,,,,,,,,,,,Online Exclusives,,,,,,,,,,3.29
Diablo Sauce Packet,,,0,,,,,,,,,,,Sides & Sweets,,,,,,,,,,0.0
Chalupa Supreme,,,350,,,,,,,,,,,Specialties,,,,,,,,,,2.99
Chips and Nacho Cheese Sauce,,,220,,,,,,,,,,,Nachos,,,,,,,,,,1.0
Black Bean Chalupa,,,330,,,,,,,,,,,New,,,,,,,,,,3.29
Chicken Quesadilla Combo,,,1100,,,,,,,,,,,Quesadillas,,,,,,,,,,6.59
Grande Toasted Breakfast Burrito Steak,,,560,,,,,,,,,,,Breakfast,,,,,,,,,,3.49
3 Crunchy Tacos Combo,,,930,,,,,,,,,,,Tacos,,,,,,,,,,5.79
Quesarito,,,650,,,,,,,,,,,Quesadillas,,,,,,,,,,3.19
Breakfast Crunchwrap,,,670,,,,,,,,,,,Breakfast,,,,,,,,,,2.79
Bean Burrito,,,350,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.29
Hash Brown,,,160,,,,,,,,,,,Breakfast,,,,,,,,,,1.29
Black Bean Crunchwrap Supreme®,,,510,,,,,,,,,,,Veggie Cravings,,,,,,,,,,3.69
Mountain Dew® Baja Blast™ Zero Sugar,,,5-15,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Power Menu Bowl,,,470,,,,,,,,,,,Power Menu,,,,,,,,,,5.49
Beef Burrito,,,430,,,,,,,,,,,Value Menu,,,,,,,,,,1.0
Sierra Mist®,,,200-380,,,,,,,,,,,Drinks,,,,,,,,,,1.99
Steak Quesadilla,,,520,,,,,,,,,,,Quesadillas,,,,,,,,,,3.99
3 Doritos® Locos Tacos Supreme Combo,,,990,,,,,,,,,,,Combos,,,,,,,,,,7.59
Cinnabon Delights® 12 Pack,,,930,,,,,,,,,,,Sides & Sweets,,,,,,,,,,4.99
Cheesy Gordita Crunch,,,500,,,,,,,,,,,Tacos,,,,,,,,,,3.59
Cinnabon Delights® 2 Pack,,,160,,,,,,,,,,,Veggie Cravings,,,,,,,,,,1.29
Wild Strawberry Freeze,,,150-190,,,,,,,,,,,Drinks,,,,,,,,,,2.69
